,UF,CARGO,COR,propor14,propor18,Variaçao 14-18
0,AC,DEPUTADO ESTADUAL,BRANCA,0.1641509433962264,0.19829424307036247,0.20799941180795536
1,AC,DEPUTADO ESTADUAL,PRETA,0.09056603773584905,0.057569296375266525,-0.3643390191897654
2,AC,DEPUTADO ESTADUAL,PARDA,0.7339622641509433,0.7356076759061834,0.0022418206433861493
3,AC,DEPUTADO ESTADUAL,AMARELA,0.009433962264150943,0.0021321961620469083,-0.7739872068230277
4,AC,DEPUTADO ESTADUAL,INDÍGENA,0.0018867924528301887,0.006396588486140725,2.390191897654584
5,AC,DEPUTADO FEDERAL,BRANCA,0.3076923076923077,0.2619047619047619,-0.1488095238095238
6,AC,DEPUTADO FEDERAL,PRETA,0.06153846153846154,0.07142857142857142,0.1607142857142856
7,AC,DEPUTADO FEDERAL,PARDA,0.6,0.6428571428571429,0.07142857142857155
8,AC,DEPUTADO FEDERAL,AMARELA,0.015384615384615385,0.0,-1.0
9,AC,DEPUTADO FEDERAL,INDÍGENA,0.015384615384615385,0.023809523809523808,0.5476190476190474
10,AC,SENADOR,BRANCA,0.25,0.6666666666666666,1.6666666666666665
11,AC,SENADOR,PRETA,0.0,0.0,
12,AC,SENADOR,PARDA,0.5,0.16666666666666666,-0.6666666666666667
13,AC,SENADOR,AMARELA,0.0,0.16666666666666666,inf
14,AC,SENADOR,INDÍGENA,0.25,0.0,-1.0
15,AL,DEPUTADO ESTADUAL,BRANCA,0.33876221498371334,0.35843373493975905,0.058068813716404176
16,AL,DEPUTADO ESTADUAL,PRETA,0.06188925081433225,0.09337349397590361,0.508719086873811
17,AL,DEPUTADO ESTADUAL,PARDA,0.5960912052117264,0.5421686746987951,-0.09046020146158416
18,AL,DEPUTADO ESTADUAL,AMARELA,0.0,0.0,
19,AL,DEPUTADO ESTADUAL,INDÍGENA,0.003257328990228013,0.006024096385542169,0.8493975903614458
20,AL,DEPUTADO FEDERAL,BRANCA,0.4672131147540984,0.6219512195121951,0.331193838254172
