,UF,CARGO,SG_PARTIDO,COR,propor14,propor18,Variaçao 14-18
0,AC,DEPUTADO ESTADUAL,PSDC,PARDA,0.5,0.0,-1.0
1,AC,DEPUTADO ESTADUAL,PSDC,BRANCA,0.1875,0.0,-1.0
2,AC,DEPUTADO ESTADUAL,PSDC,PRETA,0.28125,0.0,-1.0
3,AC,DEPUTADO ESTADUAL,PSDC,AMARELA,0.03125,0.0,-1.0
4,AC,DEPUTADO ESTADUAL,PSDC,INDÍGENA,0.0,0.0,
5,AC,DEPUTADO ESTADUAL,PV,PARDA,0.6923076923076923,0.7,0.011111111111111072
6,AC,DEPUTADO ESTADUAL,PV,BRANCA,0.19230769230769232,0.3,0.5599999999999998
7,AC,DEPUTADO ESTADUAL,PV,PRETA,0.11538461538461539,0.0,-1.0
8,AC,DEPUTADO ESTADUAL,PV,AMARELA,0.0,0.0,
9,AC,DEPUTADO ESTADUAL,PV,INDÍGENA,0.0,0.0,
10,AC,DEPUTADO ESTADUAL,PC do B,PARDA,1.0,0.6,-0.4
11,AC,DEPUTADO ESTADUAL,PC do B,BRANCA,0.0,0.0,
12,AC,DEPUTADO ESTADUAL,PC do B,PRETA,0.0,0.4,inf
13,AC,DEPUTADO ESTADUAL,PC do B,AMARELA,0.0,0.0,
14,AC,DEPUTADO ESTADUAL,PC do B,INDÍGENA,0.0,0.0,
15,AC,DEPUTADO ESTADUAL,PSB,PARDA,0.90625,0.8857142857142857,-0.022660098522167528
16,AC,DEPUTADO ESTADUAL,PSB,BRANCA,0.03125,0.05714285714285714,0.8285714285714285
17,AC,DEPUTADO ESTADUAL,PSB,PRETA,0.0625,0.05714285714285714,-0.08571428571428574
18,AC,DEPUTADO ESTADUAL,PSB,AMARELA,0.0,0.0,
19,AC,DEPUTADO ESTADUAL,PSB,INDÍGENA,0.0,0.0,
20,AC,DEPUTADO ESTADUAL,PSOL,PARDA,0.7,0.5454545454545454,-0.2207792207792208
21,AC,DEPUTADO ESTADUAL,PSOL,BRANCA,0.3,0.36363636363636365,0.2121212121212122
22,AC,DEPUTADO ESTADUAL,PSOL,PRETA,0.0,0.0,
23,AC,DEPUTADO ESTADUAL,PSOL,AMARELA,0.0,0.0,
24,AC,DEPUTADO ESTADUAL,PSOL,INDÍGENA,0.0,0.09090909090909091,inf
25,AC,DEPUTADO ESTADUAL,PTB,PARDA,1.0,0.8928571428571429,-0.1071428571428571
26,AC,DEPUTADO ESTADUAL,PTB,BRANCA,0.0,0.10714285714285714,inf
27,AC,DEPUTADO ESTADUAL,PTB,PRETA,0.0,0.0,
28,AC,DEPUTADO ESTADUAL,PTB,AMARELA,0.0,0.0,
29,AC,DEPUTADO ESTADUAL,PTB,INDÍGENA,0.0,0.0,
30,AC,DEPUTADO ESTADUAL,PSDB,PARDA,0.7307692307692307,0.65625,-0.10197368421052626
31,AC,DEPUTADO ESTADUAL,PSDB,BRANCA,0.15384615384615385,0.34375,1.2343749999999998
32,AC,DEPUTADO ESTADUAL,PSDB,PRETA,0.11538461538461539,0.0,-1.0
33,AC,DEPUTADO ESTADUAL,PSDB,AMARELA,0.0,0.0,
34,AC,DEPUTADO ESTADUAL,PSDB,INDÍGENA,0.0,0.0,
35,AC,DEPUTADO ESTADUAL,PRTB,PARDA,0.0,1.0,inf
36,AC,DEPUTADO ESTADUAL,PRTB,BRANCA,0.0,0.0,
37,AC,DEPUTADO ESTADUAL,PRTB,PRETA,0.0,0.0,
38,AC,DEPUTADO ESTADUAL,PRTB,AMARELA,0.0,0.0,
39,AC,DEPUTADO ESTADUAL,PRTB,INDÍGENA,0.0,0.0,
40,AC,DEPUTADO ESTADUAL,PP,PARDA,0.6585365853658537,0.75,0.13888888888888884
41,AC,DEPUTADO ESTADUAL,PP,BRANCA,0.34146341463414637,0.25,-0.2678571428571429
42,AC,DEPUTADO ESTADUAL,PP,PRETA,0.0,0.0,
43,AC,DEPUTADO ESTADUAL,PP,AMARELA,0.0,0.0,
44,AC,DEPUTADO ESTADUAL,PP,INDÍGENA,0.0,0.0,
45,AC,DEPUTADO ESTADUAL,PMN,PARDA,0.6666666666666666,0.75,0.12500000000000006
46,AC,DEPUTADO ESTADUAL,PMN,BRANCA,0.16666666666666666,0.0,-1.0
47,AC,DEPUTADO ESTADUAL,PMN,PRETA,0.16666666666666666,0.25,0.5000000000000001
48,AC,DEPUTADO ESTADUAL,PMN,AMARELA,0.0,0.0,
49,AC,DEPUTADO ESTADUAL,PMN,INDÍGENA,0.0,0.0,
50,AC,DEPUTADO ESTADUAL,PT,PARDA,0.5,0.5,0.0
51,AC,DEPUTADO ESTADUAL,PT,BRANCA,0.32142857142857145,0.2,-0.37777777777777777
52,AC,DEPUTADO ESTADUAL,PT,PRETA,0.17857142857142858,0.3,0.6799999999999999
53,AC,DEPUTADO ESTADUAL,PT,AMARELA,0.0,0.0,
54,AC,DEPUTADO ESTADUAL,PT,INDÍGENA,0.0,0.0,
55,AC,DEPUTADO ESTADUAL,PTC,PARDA,0.5,0.75,0.5
56,AC,DEPUTADO ESTADUAL,PTC,BRANCA,0.25,0.0,-1.0
57,AC,DEPUTADO ESTADUAL,PTC,PRETA,0.0,0.25,inf
58,AC,DEPUTADO ESTADUAL,PTC,AMARELA,0.25,0.0,-1.0
59,AC,DEPUTADO ESTADUAL,PTC,INDÍGENA,0.0,0.0,
60,AC,DEPUTADO ESTADUAL,PMDB,PARDA,0.5,0.0,-1.0
61,AC,DEPUTADO ESTADUAL,PMDB,BRANCA,0.25,0.0,-1.0
62,AC,DEPUTADO ESTADUAL,PMDB,PRETA,0.25,0.0,-1.0
63,AC,DEPUTADO ESTADUAL,PMDB,AMARELA,0.0,0.0,
64,AC,DEPUTADO ESTADUAL,PMDB,INDÍGENA,0.0,0.0,
65,AC,DEPUTADO ESTADUAL,DEM,PARDA,0.6666666666666666,0.75,0.12500000000000006
66,AC,DEPUTADO ESTADUAL,DEM,BRANCA,0.0,0.125,inf
67,AC,DEPUTADO ESTADUAL,DEM,PRETA,0.3333333333333333,0.0625,-0.8125
68,AC,DEPUTADO ESTADUAL,DEM,AMARELA,0.0,0.0625,inf
69,AC,DEPUTADO ESTADUAL,DEM,INDÍGENA,0.0,0.0,
70,AC,DEPUTADO ESTADUAL,PTN,PARDA,1.0,0.0,-1.0
71,AC,DEPUTADO ESTADUAL,PTN,BRANCA,0.0,0.0,
72,AC,DEPUTADO ESTADUAL,PTN,PRETA,0.0,0.0,
73,AC,DEPUTADO ESTADUAL,PTN,AMARELA,0.0,0.0,
74,AC,DEPUTADO ESTADUAL,PTN,INDÍGENA,0.0,0.0,
75,AC,DEPUTADO ESTADUAL,PPS,PARDA,0.7391304347826086,0.8333333333333334,0.127450980392157
76,AC,DEPUTADO ESTADUAL,PPS,BRANCA,0.2608695652173913,0.16666666666666666,-0.3611111111111111
77,AC,DEPUTADO ESTADUAL,PPS,PRETA,0.0,0.0,
78,AC,DEPUTADO ESTADUAL,PPS,AMARELA,0.0,0.0,
79,AC,DEPUTADO ESTADUAL,PPS,INDÍGENA,0.0,0.0,
