,UF,CARGO,SG_PARTIDO,propor10,propor14,propor18,Variaçao 14-18,Variaçao 10-14,Variaçao 10-18
0,AC,DEPUTADO ESTADUAL,PV,0.09090909090909091,0.3076923076923077,0.4,0.3,2.3846153846153846,3.4
1,AC,DEPUTADO ESTADUAL,PC do B,0.3055555555555556,0.38461538461538464,0.4,0.04,0.2587412587412587,0.3090909090909091
2,AC,DEPUTADO ESTADUAL,PSB,0.2222222222222222,0.3125,0.34285714285714286,0.09714285714285716,0.40625000000000006,0.5428571428571429
3,AC,DEPUTADO ESTADUAL,PSOL,0.16666666666666666,0.3,0.45454545454545453,0.5151515151515151,0.8,1.727272727272727
4,AC,DEPUTADO ESTADUAL,PTB,0.1111111111111111,0.0,0.32142857142857145,inf,-1.0,1.8928571428571432
5,AC,DEPUTADO ESTADUAL,PSDB,0.1724137931034483,0.23076923076923078,0.3125,0.3541666666666666,0.3384615384615384,0.8124999999999999
6,AC,DEPUTADO ESTADUAL,PRTB,0.2857142857142857,0.23076923076923078,0.21428571428571427,-0.07142857142857154,-0.1923076923076922,-0.25
7,AC,DEPUTADO ESTADUAL,PP,0.1724137931034483,0.3170731707317073,0.35714285714285715,0.1263736263736264,0.8390243902439023,1.0714285714285714
8,AC,DEPUTADO ESTADUAL,PMN,0.2857142857142857,0.3333333333333333,0.5,0.5000000000000001,0.16666666666666666,0.7500000000000001
9,AC,DEPUTADO ESTADUAL,PT,0.17391304347826086,0.35714285714285715,0.35,-0.020000000000000084,1.0535714285714286,1.0125
10,AC,DEPUTADO ESTADUAL,PTC,0.15,0.5,0.5,0.0,2.3333333333333335,2.3333333333333335
11,AC,DEPUTADO ESTADUAL,DEM,0.21428571428571427,0.3333333333333333,0.3125,-0.062499999999999944,0.5555555555555556,0.4583333333333334
12,AC,DEPUTADO ESTADUAL,PPS,0.2222222222222222,0.30434782608695654,0.16666666666666666,-0.45238095238095244,0.3695652173913045,-0.25
13,AC,DEPUTADO ESTADUAL,PRP,0.058823529411764705,0.2777777777777778,0.21052631578947367,-0.24210526315789482,3.7222222222222223,2.578947368421052
14,AC,DEPUTADO ESTADUAL,PSC,0.2727272727272727,0.26666666666666666,0.36363636363636365,0.3636363636363637,-0.022222222222222164,0.3333333333333335
15,AC,DEPUTADO ESTADUAL,PRB,0.25,0.2,0.4,1.0,-0.19999999999999996,0.6000000000000001
16,AC,DEPUTADO ESTADUAL,PHS,0.0,0.46153846153846156,0.2727272727272727,-0.40909090909090917,inf,inf
17,AC,DEPUTADO ESTADUAL,PR,0.4,0.32,0.0,-1.0,-0.20000000000000004,-1.0
18,AC,DEPUTADO ESTADUAL,PSL,0.25,0.2,0.26666666666666666,0.33333333333333326,-0.19999999999999996,0.06666666666666665
19,AC,DEPUTADO ESTADUAL,PDT,0.0,0.3055555555555556,0.32142857142857145,0.05194805194805194,inf,inf
20,AC,DEPUTADO ESTADUAL,PSD,0.0,0.3076923076923077,0.2727272727272727,-0.11363636363636376,inf,inf
21,AC,DEPUTADO ESTADUAL,PPL,0.0,0.21428571428571427,0.0,-1.0,inf,
22,AC,DEPUTADO ESTADUAL,PROS,0.0,0.5,0.375,-0.25,inf,inf
23,AC,DEPUTADO ESTADUAL,PMB,0.0,0.3,0.375,0.25000000000000006,inf,inf
24,AC,DEPUTADO ESTADUAL,PATRI,0.0,0.3,0.6666666666666666,1.222222222222222,inf,inf
25,AC,DEPUTADO ESTADUAL,MDB,0.0,0.3,0.4117647058823529,0.37254901960784315,inf,inf
26,AC,DEPUTADO ESTADUAL,DC,0.0,0.3,0.34615384615384615,0.15384615384615385,inf,inf
27,AC,DEPUTADO ESTADUAL,REDE,0.0,0.3,0.3,0.0,inf,inf
28,AC,DEPUTADO ESTADUAL,PODE,0.0,0.3,0.15384615384615385,-0.4871794871794871,inf,inf
29,AC,DEPUTADO ESTADUAL,SOLIDARIEDADE,0.0,0.3,0.375,0.25000000000000006,inf,inf
30,AC,DEPUTADO FEDERAL,PPS,0.25,0.0,1.0,inf,-1.0,3.0
31,AC,DEPUTADO FEDERAL,PSC,0.4,1.0,0.0,-1.0,1.4999999999999998,-1.0
32,AC,DEPUTADO FEDERAL,PR,0.0,0.0,1.0,inf,,inf
33,AC,DEPUTADO FEDERAL,PSDB,0.14285714285714285,0.2,1.0,4.0,0.40000000000000013,6.000000000000001
34,AC,DEPUTADO FEDERAL,PT,0.16666666666666666,0.5454545454545454,0.4,-0.26666666666666655,2.272727272727273,1.4000000000000004
35,AC,DEPUTADO FEDERAL,PRP,0.0,0.0,0.3333333333333333,inf,,inf
36,AC,DEPUTADO FEDERAL,PRTB,1.0,0.0,0.5,inf,-1.0,-0.5
37,AC,DEPUTADO FEDERAL,PP,0.0,0.2857142857142857,0.0,-1.0,inf,
38,AC,DEPUTADO FEDERAL,PTC,0.0,0.2857142857142857,0.0,-1.0,inf,
39,AC,DEPUTADO FEDERAL,PV,0.0,0.5,0.5,0.0,inf,inf
40,AC,DEPUTADO FEDERAL,PDT,0.0,0.0,0.35294117647058826,inf,,inf
41,AC,DEPUTADO FEDERAL,PSB,0.0,0.0,0.0,,,
42,AC,DEPUTADO FEDERAL,DEM,0.0,0.25,0.0,-1.0,inf,
43,AC,DEPUTADO FEDERAL,PC do B,1.0,0.0,1.0,inf,-1.0,0.0
