,uf,cargo,propor10,propor14,propor18,Variação 14-18,Variação 10-14,Variação 10-18
0,AC,DEPUTADO ESTADUAL,0.20103092783505155,0.30754716981132074,0.32196162046908317,0.04686907269088395,0.5298500241896467,0.6015526761795419
1,AC,DEPUTADO FEDERAL,0.2222222222222222,0.3384615384615385,0.34523809523809523,0.02002164502164495,0.5230769230769232,0.5535714285714286
2,AC,SENADOR,0.0,0.25,0.0,-1.0,inf,
3,AL,DEPUTADO ESTADUAL,0.21450151057401812,0.31921824104234525,0.3192771084337349,0.00018441111384312142,0.48818644767628566,0.4884608857967079
4,AL,DEPUTADO FEDERAL,0.2289156626506024,0.32786885245901637,0.34146341463414637,0.041463414634146496,0.4322691975841242,0.4916559691912711
5,AL,SENADOR,0.1,0.125,0.1111111111111111,-0.11111111111111116,0.24999999999999994,0.111111111111111
6,AP,DEPUTADO ESTADUAL,0.27218934911242604,0.30548302872062666,0.33468559837728196,0.09559473656836734,0.12231808377795446,0.22960578534262283
7,AP,DEPUTADO FEDERAL,0.28431372549019607,0.3565217391304348,0.33613445378151263,-0.05718384914941577,0.2539730134932534,0.1822660098522169
8,AP,SENADOR,0.0,0.3,0.25,-0.16666666666666663,inf,inf
9,AM,DEPUTADO ESTADUAL,0.3014354066985646,0.3139717425431711,0.3083969465648855,-0.017755725190839764,0.041588796690837454,0.02309463225493747
10,AM,DEPUTADO FEDERAL,0.30985915492957744,0.3493975903614458,0.3157894736842105,-0.09618874773139754,0.12760131434830244,0.019138755980861268
11,AM,SENADOR,0.2,0.0,0.1111111111111111,inf,-1.0,-0.44444444444444453
12,BA,DEPUTADO ESTADUAL,0.17052023121387283,0.30654761904761907,0.3073322932917317,0.0025597140390469417,0.7977199354318,0.8023215843887993
13,BA,DEPUTADO FEDERAL,0.11785714285714285,0.3281653746770026,0.3286573146292585,0.0014990611143547074,1.7844334821079006,1.7886075180664358
14,BA,SENADOR,0.18181818181818182,0.2857142857142857,0.0,-1.0,0.5714285714285713,-1.0
15,CE,DEPUTADO ESTADUAL,0.2902155887230514,0.31240188383045525,0.30756302521008405,-0.015489210759680678,0.07644763399865434,0.05977430972388958
16,CE,DEPUTADO FEDERAL,0.2597402597402597,0.2995391705069124,0.32061068702290074,0.0703464474456841,0.15322580645161293,0.23435114503816798
17,CE,SENADOR,0.2,0.5,0.15384615384615385,-0.6923076923076923,1.4999999999999998,-0.23076923076923078
