,UF,ANO,CARGO,DS,COR,CANDIDATOS_COR,TOTAL,% do Total
0,AC,2014,DEPUTADO ESTADUAL,PRP,PARDA,36,36,1.0
1,AC,2014,DEPUTADO ESTADUAL,PTB,PARDA,3,3,1.0
2,AC,2014,DEPUTADO ESTADUAL,PC do B,PARDA,13,13,1.0
3,AC,2014,DEPUTADO ESTADUAL,PSOL,BRANCA,3,10,0.3
4,AC,2014,DEPUTADO ESTADUAL,PSOL,PARDA,7,10,0.7
5,AC,2014,DEPUTADO ESTADUAL,PV,BRANCA,5,26,0.19230769230769232
6,AC,2014,DEPUTADO ESTADUAL,PV,PRETA,3,26,0.11538461538461539
7,AC,2014,DEPUTADO ESTADUAL,PV,PARDA,18,26,0.6923076923076923
8,AC,2014,DEPUTADO ESTADUAL,PT,BRANCA,9,28,0.32142857142857145
9,AC,2014,DEPUTADO ESTADUAL,PT,PRETA,5,28,0.17857142857142858
10,AC,2014,DEPUTADO ESTADUAL,PT,PARDA,14,28,0.5
11,AC,2014,DEPUTADO ESTADUAL,PEN,BRANCA,1,6,0.16666666666666666
12,AC,2014,DEPUTADO ESTADUAL,PEN,PRETA,1,6,0.16666666666666666
13,AC,2014,DEPUTADO ESTADUAL,PEN,PARDA,4,6,0.6666666666666666
14,AC,2014,DEPUTADO ESTADUAL,PRB,BRANCA,3,20,0.15
15,AC,2014,DEPUTADO ESTADUAL,PRB,PRETA,1,20,0.05
16,AC,2014,DEPUTADO ESTADUAL,PRB,PARDA,16,20,0.8
17,AC,2014,DEPUTADO ESTADUAL,PSD,BRANCA,7,26,0.2692307692307692
18,AC,2014,DEPUTADO ESTADUAL,PSD,PRETA,4,26,0.15384615384615385
19,AC,2014,DEPUTADO ESTADUAL,PSD,PARDA,15,26,0.5769230769230769
20,AC,2014,DEPUTADO ESTADUAL,PDT,BRANCA,7,36,0.19444444444444445
21,AC,2014,DEPUTADO ESTADUAL,PDT,PRETA,2,36,0.05555555555555555
22,AC,2014,DEPUTADO ESTADUAL,PDT,PARDA,27,36,0.75
23,AC,2014,DEPUTADO ESTADUAL,PTC,BRANCA,1,4,0.25
24,AC,2014,DEPUTADO ESTADUAL,PTC,PARDA,2,4,0.5
25,AC,2014,DEPUTADO ESTADUAL,PTC,AMARELA,1,4,0.25
26,AC,2014,DEPUTADO ESTADUAL,PMN,BRANCA,1,6,0.16666666666666666
27,AC,2014,DEPUTADO ESTADUAL,PMN,PRETA,1,6,0.16666666666666666
28,AC,2014,DEPUTADO ESTADUAL,PMN,PARDA,4,6,0.6666666666666666
29,AC,2014,DEPUTADO ESTADUAL,DEM,PRETA,10,30,0.3333333333333333
30,AC,2014,DEPUTADO ESTADUAL,DEM,PARDA,20,30,0.6666666666666666
31,AC,2014,DEPUTADO ESTADUAL,PSB,BRANCA,1,32,0.03125
32,AC,2014,DEPUTADO ESTADUAL,PSB,PRETA,2,32,0.0625
33,AC,2014,DEPUTADO ESTADUAL,PSB,PARDA,29,32,0.90625
34,AC,2014,DEPUTADO ESTADUAL,PPS,BRANCA,6,23,0.2608695652173913
35,AC,2014,DEPUTADO ESTADUAL,PPS,PARDA,17,23,0.7391304347826086
36,AC,2014,DEPUTADO ESTADUAL,PSDC,BRANCA,6,32,0.1875
37,AC,2014,DEPUTADO ESTADUAL,PSDC,PRETA,9,32,0.28125
38,AC,2014,DEPUTADO ESTADUAL,PSDC,PARDA,16,32,0.5
39,AC,2014,DEPUTADO ESTADUAL,PSDC,AMARELA,1,32,0.03125
40,AC,2014,DEPUTADO ESTADUAL,PR,PARDA,25,25,1.0
41,AC,2014,DEPUTADO ESTADUAL,PSC,BRANCA,4,15,0.26666666666666666
42,AC,2014,DEPUTADO ESTADUAL,PSC,PRETA,1,15,0.06666666666666667
43,AC,2014,DEPUTADO ESTADUAL,PSC,PARDA,8,15,0.5333333333333333
44,AC,2014,DEPUTADO ESTADUAL,PSC,AMARELA,2,15,0.13333333333333333
45,AC,2014,DEPUTADO ESTADUAL,PSDB,BRANCA,4,26,0.15384615384615385
46,AC,2014,DEPUTADO ESTADUAL,PSDB,PRETA,3,26,0.11538461538461539
47,AC,2014,DEPUTADO ESTADUAL,PSDB,PARDA,19,26,0.7307692307692307
48,AC,2014,DEPUTADO ESTADUAL,PTN,PARDA,22,22,1.0
