,ANO,UF,CARGO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
0,2010,AC,DEPUTADO ESTADUAL,310,78,388,0.20103092783505155,0.7989690721649485
1,2010,AC,DEPUTADO FEDERAL,35,10,45,0.2222222222222222,0.7777777777777778
2,2010,AC,SENADOR,5,0,5,0.0,1.0
3,2014,AC,DEPUTADO ESTADUAL,367,163,530,0.30754716981132074,0.6924528301886792
4,2014,AC,DEPUTADO FEDERAL,43,22,65,0.3384615384615385,0.6615384615384615
5,2014,AC,SENADOR,3,1,4,0.25,0.75
6,2018,AC,DEPUTADO ESTADUAL,318,151,469,0.32196162046908317,0.6780383795309168
7,2018,AC,DEPUTADO FEDERAL,55,29,84,0.34523809523809523,0.6547619047619048
8,2018,AC,SENADOR,6,0,6,0.0,1.0
9,2010,AL,DEPUTADO ESTADUAL,260,71,331,0.21450151057401812,0.7854984894259819
10,2010,AL,DEPUTADO FEDERAL,64,19,83,0.2289156626506024,0.7710843373493976
11,2010,AL,SENADOR,9,1,10,0.1,0.9
12,2014,AL,DEPUTADO ESTADUAL,209,98,307,0.31921824104234525,0.6807817589576547
13,2014,AL,DEPUTADO FEDERAL,82,40,122,0.32786885245901637,0.6721311475409836
14,2014,AL,SENADOR,7,1,8,0.125,0.875
15,2018,AL,DEPUTADO ESTADUAL,226,106,332,0.3192771084337349,0.6807228915662651
16,2018,AL,DEPUTADO FEDERAL,54,28,82,0.34146341463414637,0.6585365853658537
17,2018,AL,SENADOR,8,1,9,0.1111111111111111,0.8888888888888888
18,2010,AP,DEPUTADO ESTADUAL,246,92,338,0.27218934911242604,0.727810650887574
19,2010,AP,DEPUTADO FEDERAL,73,29,102,0.28431372549019607,0.7156862745098039
20,2010,AP,SENADOR,9,0,9,0.0,1.0
21,2014,AP,DEPUTADO ESTADUAL,266,117,383,0.30548302872062666,0.6945169712793734
22,2014,AP,DEPUTADO FEDERAL,74,41,115,0.3565217391304348,0.6434782608695652
23,2014,AP,SENADOR,7,3,10,0.3,0.7
24,2018,AP,DEPUTADO ESTADUAL,328,165,493,0.33468559837728196,0.665314401622718
25,2018,AP,DEPUTADO FEDERAL,79,40,119,0.33613445378151263,0.6638655462184874
26,2018,AP,SENADOR,9,3,12,0.25,0.75
27,2010,AM,DEPUTADO ESTADUAL,292,126,418,0.3014354066985646,0.6985645933014354
28,2010,AM,DEPUTADO FEDERAL,49,22,71,0.30985915492957744,0.6901408450704225
29,2010,AM,SENADOR,8,2,10,0.2,0.8
30,2014,AM,DEPUTADO ESTADUAL,437,200,637,0.3139717425431711,0.6860282574568289
31,2014,AM,DEPUTADO FEDERAL,54,29,83,0.3493975903614458,0.6506024096385542
32,2014,AM,SENADOR,6,0,6,0.0,1.0
33,2018,AM,DEPUTADO ESTADUAL,453,202,655,0.3083969465648855,0.6916030534351145
34,2018,AM,DEPUTADO FEDERAL,104,48,152,0.3157894736842105,0.6842105263157895
35,2018,AM,SENADOR,8,1,9,0.1111111111111111,0.8888888888888888
36,2010,BA,DEPUTADO ESTADUAL,574,118,692,0.17052023121387283,0.8294797687861272
37,2010,BA,DEPUTADO FEDERAL,247,33,280,0.11785714285714285,0.8821428571428571
38,2010,BA,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
39,2014,BA,DEPUTADO ESTADUAL,466,206,672,0.30654761904761907,0.6934523809523809
40,2014,BA,DEPUTADO FEDERAL,260,127,387,0.3281653746770026,0.6718346253229974
41,2014,BA,SENADOR,5,2,7,0.2857142857142857,0.7142857142857143
42,2018,BA,DEPUTADO ESTADUAL,444,197,641,0.3073322932917317,0.6926677067082684
43,2018,BA,DEPUTADO FEDERAL,335,164,499,0.3286573146292585,0.6713426853707415
44,2018,BA,SENADOR,11,0,11,0.0,1.0
45,2010,CE,DEPUTADO ESTADUAL,428,175,603,0.2902155887230514,0.7097844112769486
46,2010,CE,DEPUTADO FEDERAL,114,40,154,0.2597402597402597,0.7402597402597403
47,2010,CE,SENADOR,8,2,10,0.2,0.8
48,2014,CE,DEPUTADO ESTADUAL,438,199,637,0.31240188383045525,0.6875981161695447
49,2014,CE,DEPUTADO FEDERAL,152,65,217,0.2995391705069124,0.7004608294930875
50,2014,CE,SENADOR,2,2,4,0.5,0.5
51,2018,CE,DEPUTADO ESTADUAL,412,183,595,0.30756302521008405,0.692436974789916
52,2018,CE,DEPUTADO FEDERAL,178,84,262,0.32061068702290074,0.6793893129770993
53,2018,CE,SENADOR,11,2,13,0.15384615384615385,0.8461538461538461
54,2010,DF,DEPUTADO DISTRITAL,660,224,884,0.25339366515837103,0.746606334841629
55,2010,DF,DEPUTADO FEDERAL,91,27,118,0.2288135593220339,0.7711864406779662
56,2010,DF,SENADOR,11,2,13,0.15384615384615385,0.8461538461538461
57,2014,DF,DEPUTADO DISTRITAL,710,316,1026,0.3079922027290448,0.6920077972709552
58,2014,DF,DEPUTADO FEDERAL,90,44,134,0.3283582089552239,0.6716417910447762
59,2014,DF,SENADOR,7,1,8,0.125,0.875
60,2018,DF,DEPUTADO DISTRITAL,667,306,973,0.31449126413155193,0.6855087358684481
61,2018,DF,DEPUTADO FEDERAL,129,59,188,0.31382978723404253,0.6861702127659575
62,2018,DF,SENADOR,17,3,20,0.15,0.85
63,2010,ES,DEPUTADO ESTADUAL,373,46,419,0.10978520286396182,0.8902147971360382
64,2010,ES,DEPUTADO FEDERAL,75,15,90,0.16666666666666666,0.8333333333333334
65,2010,ES,SENADOR,4,1,5,0.2,0.8
66,2014,ES,DEPUTADO ESTADUAL,390,181,571,0.3169877408056042,0.6830122591943958
67,2014,ES,DEPUTADO FEDERAL,130,60,190,0.3157894736842105,0.6842105263157895
68,2014,ES,SENADOR,5,1,6,0.16666666666666666,0.8333333333333334
69,2018,ES,DEPUTADO ESTADUAL,420,191,611,0.31260229132569556,0.6873977086743044
70,2018,ES,DEPUTADO FEDERAL,112,57,169,0.33727810650887574,0.6627218934911243
71,2018,ES,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
72,2010,GO,DEPUTADO ESTADUAL,507,138,645,0.21395348837209302,0.786046511627907
73,2010,GO,DEPUTADO FEDERAL,136,15,151,0.09933774834437085,0.9006622516556292
74,2010,GO,SENADOR,9,1,10,0.1,0.9
75,2014,GO,DEPUTADO ESTADUAL,587,259,846,0.3061465721040189,0.693853427895981
76,2014,GO,DEPUTADO FEDERAL,121,55,176,0.3125,0.6875
77,2014,GO,SENADOR,6,1,7,0.14285714285714285,0.8571428571428571
78,2018,GO,DEPUTADO ESTADUAL,608,285,893,0.3191489361702128,0.6808510638297872
79,2018,GO,DEPUTADO FEDERAL,152,76,228,0.3333333333333333,0.6666666666666666
80,2018,GO,SENADOR,9,3,12,0.25,0.75
81,2010,MA,DEPUTADO ESTADUAL,359,61,420,0.14523809523809525,0.8547619047619047
82,2010,MA,DEPUTADO FEDERAL,153,21,174,0.1206896551724138,0.8793103448275862
83,2010,MA,SENADOR,10,2,12,0.16666666666666666,0.8333333333333334
84,2014,MA,DEPUTADO ESTADUAL,396,191,587,0.32538330494037476,0.6746166950596252
85,2014,MA,DEPUTADO FEDERAL,185,90,275,0.32727272727272727,0.6727272727272727
86,2014,MA,SENADOR,6,0,6,0.0,1.0
87,2018,MA,DEPUTADO ESTADUAL,355,171,526,0.32509505703422054,0.6749049429657795
88,2018,MA,DEPUTADO FEDERAL,137,69,206,0.33495145631067963,0.6650485436893204
89,2018,MA,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
90,2010,MT,DEPUTADO ESTADUAL,227,80,307,0.26058631921824105,0.739413680781759
91,2010,MT,DEPUTADO FEDERAL,71,25,96,0.2604166666666667,0.7395833333333334
92,2010,MT,SENADOR,8,0,8,0.0,1.0
93,2014,MT,DEPUTADO ESTADUAL,229,107,336,0.31845238095238093,0.6815476190476191
94,2014,MT,DEPUTADO FEDERAL,75,37,112,0.33035714285714285,0.6696428571428571
95,2014,MT,SENADOR,7,0,7,0.0,1.0
96,2018,MT,DEPUTADO ESTADUAL,238,108,346,0.31213872832369943,0.6878612716763006
97,2018,MT,DEPUTADO FEDERAL,92,49,141,0.3475177304964539,0.6524822695035462
98,2018,MT,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
99,2010,MS,DEPUTADO ESTADUAL,200,68,268,0.2537313432835821,0.746268656716418
100,2010,MS,DEPUTADO FEDERAL,50,24,74,0.32432432432432434,0.6756756756756757
101,2010,MS,SENADOR,5,0,5,0.0,1.0
102,2014,MS,DEPUTADO ESTADUAL,287,147,434,0.3387096774193548,0.6612903225806451
103,2014,MS,DEPUTADO FEDERAL,86,44,130,0.3384615384615385,0.6615384615384615
104,2014,MS,SENADOR,5,1,6,0.16666666666666666,0.8333333333333334
105,2018,MS,DEPUTADO ESTADUAL,238,116,354,0.327683615819209,0.672316384180791
106,2018,MS,DEPUTADO FEDERAL,85,42,127,0.33070866141732286,0.6692913385826772
107,2018,MS,SENADOR,13,1,14,0.07142857142857142,0.9285714285714286
108,2010,MG,DEPUTADO ESTADUAL,934,169,1103,0.15321849501359927,0.8467815049864007
109,2010,MG,DEPUTADO FEDERAL,536,93,629,0.1478537360890302,0.8521462639109698
110,2010,MG,SENADOR,11,2,13,0.15384615384615385,0.8461538461538461
111,2014,MG,DEPUTADO ESTADUAL,814,385,1199,0.3211009174311927,0.6788990825688074
112,2014,MG,DEPUTADO FEDERAL,477,219,696,0.3146551724137931,0.6853448275862069
113,2014,MG,SENADOR,6,2,8,0.25,0.75
114,2018,MG,DEPUTADO ESTADUAL,947,431,1378,0.3127721335268505,0.6872278664731495
115,2018,MG,DEPUTADO FEDERAL,630,288,918,0.3137254901960784,0.6862745098039216
116,2018,MG,SENADOR,11,4,15,0.26666666666666666,0.7333333333333333
117,2010,PA,DEPUTADO ESTADUAL,444,182,626,0.29073482428115016,0.7092651757188498
118,2010,PA,DEPUTADO FEDERAL,130,50,180,0.2777777777777778,0.7222222222222222
119,2010,PA,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
120,2014,PA,DEPUTADO ESTADUAL,536,244,780,0.3128205128205128,0.6871794871794872
121,2014,PA,DEPUTADO FEDERAL,144,71,215,0.3302325581395349,0.6697674418604651
122,2014,PA,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
123,2018,PA,DEPUTADO ESTADUAL,460,223,683,0.32650073206442165,0.6734992679355783
124,2018,PA,DEPUTADO FEDERAL,98,43,141,0.3049645390070922,0.6950354609929078
125,2018,PA,SENADOR,16,2,18,0.1111111111111111,0.8888888888888888
126,2010,PB,DEPUTADO ESTADUAL,245,73,318,0.22955974842767296,0.7704402515723271
127,2010,PB,DEPUTADO FEDERAL,77,20,97,0.20618556701030927,0.7938144329896907
128,2010,PB,SENADOR,7,1,8,0.125,0.875
129,2014,PB,DEPUTADO ESTADUAL,284,142,426,0.3333333333333333,0.6666666666666666
130,2014,PB,DEPUTADO FEDERAL,81,36,117,0.3076923076923077,0.6923076923076923
131,2014,PB,SENADOR,6,2,8,0.25,0.75
132,2018,PB,DEPUTADO ESTADUAL,290,131,421,0.31116389548693585,0.6888361045130641
133,2018,PB,DEPUTADO FEDERAL,107,52,159,0.3270440251572327,0.6729559748427673
134,2018,PB,SENADOR,6,1,7,0.14285714285714285,0.8571428571428571
135,2010,PR,DEPUTADO ESTADUAL,476,165,641,0.2574102964118565,0.7425897035881436
136,2010,PR,DEPUTADO FEDERAL,254,83,337,0.24629080118694363,0.7537091988130564
137,2010,PR,SENADOR,11,1,12,0.08333333333333333,0.9166666666666666
138,2014,PR,DEPUTADO ESTADUAL,579,267,846,0.31560283687943264,0.6843971631205674
139,2014,PR,DEPUTADO FEDERAL,235,109,344,0.3168604651162791,0.6831395348837209
140,2014,PR,SENADOR,8,0,8,0.0,1.0
141,2018,PR,DEPUTADO ESTADUAL,528,235,763,0.30799475753604194,0.6920052424639581
142,2018,PR,DEPUTADO FEDERAL,310,137,447,0.30648769574944074,0.6935123042505593
143,2018,PR,SENADOR,12,4,16,0.25,0.75
144,2010,PE,DEPUTADO ESTADUAL,391,73,464,0.15732758620689655,0.8426724137931034
145,2010,PE,DEPUTADO FEDERAL,183,16,199,0.08040201005025126,0.9195979899497487
146,2010,PE,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
147,2014,PE,DEPUTADO ESTADUAL,377,174,551,0.3157894736842105,0.6842105263157895
148,2014,PE,DEPUTADO FEDERAL,119,56,175,0.32,0.68
149,2014,PE,SENADOR,3,2,5,0.4,0.6
150,2018,PE,DEPUTADO ESTADUAL,469,210,679,0.30927835051546393,0.6907216494845361
151,2018,PE,DEPUTADO FEDERAL,243,113,356,0.31741573033707865,0.6825842696629213
152,2018,PE,SENADOR,8,4,12,0.3333333333333333,0.6666666666666666
153,2010,PI,DEPUTADO ESTADUAL,167,58,225,0.2577777777777778,0.7422222222222222
154,2010,PI,DEPUTADO FEDERAL,83,34,117,0.2905982905982906,0.7094017094017094
155,2010,PI,SENADOR,11,2,13,0.15384615384615385,0.8461538461538461
156,2014,PI,DEPUTADO ESTADUAL,174,84,258,0.32558139534883723,0.6744186046511628
157,2014,PI,DEPUTADO FEDERAL,74,37,111,0.3333333333333333,0.6666666666666666
158,2014,PI,SENADOR,6,0,6,0.0,1.0
159,2018,PI,DEPUTADO ESTADUAL,147,68,215,0.31627906976744186,0.6837209302325581
160,2018,PI,DEPUTADO FEDERAL,94,47,141,0.3333333333333333,0.6666666666666666
161,2018,PI,SENADOR,16,2,18,0.1111111111111111,0.8888888888888888
162,2010,RJ,DEPUTADO ESTADUAL,1287,562,1849,0.3039480800432666,0.6960519199567333
163,2010,RJ,DEPUTADO FEDERAL,645,284,929,0.30570505920344454,0.6942949407965554
164,2010,RJ,SENADOR,11,0,11,0.0,1.0
165,2014,RJ,DEPUTADO ESTADUAL,1419,618,2037,0.30338733431516934,0.6966126656848306
166,2014,RJ,DEPUTADO FEDERAL,749,332,1081,0.3071230342275671,0.692876965772433
167,2014,RJ,SENADOR,7,1,8,0.125,0.875
168,2018,RJ,DEPUTADO ESTADUAL,1690,763,2453,0.31104769669792093,0.6889523033020791
169,2018,RJ,DEPUTADO FEDERAL,769,342,1111,0.30783078307830786,0.6921692169216922
170,2018,RJ,SENADOR,13,4,17,0.23529411764705882,0.7647058823529411
171,2010,RN,DEPUTADO ESTADUAL,124,33,157,0.21019108280254778,0.7898089171974523
172,2010,RN,DEPUTADO FEDERAL,51,10,61,0.16393442622950818,0.8360655737704918
173,2010,RN,SENADOR,6,1,7,0.14285714285714285,0.8571428571428571
174,2014,RN,DEPUTADO ESTADUAL,182,92,274,0.3357664233576642,0.6642335766423357
175,2014,RN,DEPUTADO FEDERAL,68,32,100,0.32,0.68
176,2014,RN,SENADOR,2,3,5,0.6,0.4
177,2018,RN,DEPUTADO ESTADUAL,219,108,327,0.3302752293577982,0.6697247706422018
178,2018,RN,DEPUTADO FEDERAL,80,40,120,0.3333333333333333,0.6666666666666666
179,2018,RN,SENADOR,11,4,15,0.26666666666666666,0.7333333333333333
180,2010,RS,DEPUTADO ESTADUAL,454,172,626,0.2747603833865815,0.7252396166134185
181,2010,RS,DEPUTADO FEDERAL,231,83,314,0.2643312101910828,0.7356687898089171
182,2010,RS,SENADOR,8,4,12,0.3333333333333333,0.6666666666666666
183,2014,RS,DEPUTADO ESTADUAL,495,226,721,0.31345353675450766,0.6865464632454924
184,2014,RS,DEPUTADO FEDERAL,222,105,327,0.3211009174311927,0.6788990825688074
185,2014,RS,SENADOR,7,1,8,0.125,0.875
186,2018,RS,DEPUTADO ESTADUAL,577,272,849,0.32037691401649,0.6796230859835101
187,2018,RS,DEPUTADO FEDERAL,284,137,421,0.3254156769596199,0.6745843230403801
188,2018,RS,SENADOR,10,5,15,0.3333333333333333,0.6666666666666666
189,2010,RO,DEPUTADO ESTADUAL,317,66,383,0.17232375979112272,0.8276762402088773
190,2010,RO,DEPUTADO FEDERAL,62,20,82,0.24390243902439024,0.7560975609756098
191,2010,RO,SENADOR,8,1,9,0.1111111111111111,0.8888888888888888
192,2014,RO,DEPUTADO ESTADUAL,303,145,448,0.3236607142857143,0.6763392857142857
193,2014,RO,DEPUTADO FEDERAL,64,31,95,0.3263157894736842,0.6736842105263158
194,2014,RO,SENADOR,3,1,4,0.25,0.75
195,2018,RO,DEPUTADO ESTADUAL,311,147,458,0.32096069868995636,0.6790393013100436
196,2018,RO,DEPUTADO FEDERAL,78,39,117,0.3333333333333333,0.6666666666666666
197,2018,RO,SENADOR,15,1,16,0.0625,0.9375
198,2010,RR,DEPUTADO ESTADUAL,315,131,446,0.2937219730941704,0.7062780269058296
199,2010,RR,DEPUTADO FEDERAL,53,21,74,0.28378378378378377,0.7162162162162162
200,2010,RR,SENADOR,7,2,9,0.2222222222222222,0.7777777777777778
201,2014,RR,DEPUTADO ESTADUAL,289,134,423,0.31678486997635935,0.6832151300236406
202,2014,RR,DEPUTADO FEDERAL,57,28,85,0.32941176470588235,0.6705882352941176
203,2014,RR,SENADOR,5,1,6,0.16666666666666666,0.8333333333333334
204,2018,RR,DEPUTADO ESTADUAL,325,157,482,0.3257261410788382,0.6742738589211619
205,2018,RR,DEPUTADO FEDERAL,103,51,154,0.33116883116883117,0.6688311688311688
206,2018,RR,SENADOR,9,2,11,0.18181818181818182,0.8181818181818182
207,2010,SC,DEPUTADO ESTADUAL,259,106,365,0.29041095890410956,0.7095890410958904
208,2010,SC,DEPUTADO FEDERAL,118,52,170,0.3058823529411765,0.6941176470588235
209,2010,SC,SENADOR,10,2,12,0.16666666666666666,0.8333333333333334
210,2014,SC,DEPUTADO ESTADUAL,332,159,491,0.32382892057026474,0.6761710794297352
211,2014,SC,DEPUTADO FEDERAL,96,49,145,0.33793103448275863,0.6620689655172414
212,2014,SC,SENADOR,5,2,7,0.2857142857142857,0.7142857142857143
