,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
0,2010,AC,DEPUTADO ESTADUAL,PSDC,25,1,26,0.038461538461538464,0.9615384615384616
1,2010,AC,DEPUTADO ESTADUAL,PV,10,1,11,0.09090909090909091,0.9090909090909091
2,2010,AC,DEPUTADO ESTADUAL,PC do B,25,11,36,0.3055555555555556,0.6944444444444444
3,2010,AC,DEPUTADO ESTADUAL,PSB,28,8,36,0.2222222222222222,0.7777777777777778
4,2010,AC,DEPUTADO ESTADUAL,PSOL,10,2,12,0.16666666666666666,0.8333333333333334
5,2010,AC,DEPUTADO ESTADUAL,PTB,8,1,9,0.1111111111111111,0.8888888888888888
6,2010,AC,DEPUTADO ESTADUAL,PSDB,24,5,29,0.1724137931034483,0.8275862068965517
7,2010,AC,DEPUTADO ESTADUAL,PRTB,20,8,28,0.2857142857142857,0.7142857142857143
8,2010,AC,DEPUTADO ESTADUAL,PP,24,5,29,0.1724137931034483,0.8275862068965517
9,2010,AC,DEPUTADO ESTADUAL,PMN,15,6,21,0.2857142857142857,0.7142857142857143
10,2010,AC,DEPUTADO ESTADUAL,PT,19,4,23,0.17391304347826086,0.8260869565217391
11,2010,AC,DEPUTADO ESTADUAL,PTC,17,3,20,0.15,0.85
12,2010,AC,DEPUTADO ESTADUAL,PMDB,16,6,22,0.2727272727272727,0.7272727272727273
13,2010,AC,DEPUTADO ESTADUAL,DEM,11,3,14,0.21428571428571427,0.7857142857142857
14,2010,AC,DEPUTADO ESTADUAL,PTN,3,1,4,0.25,0.75
15,2010,AC,DEPUTADO ESTADUAL,PPS,14,4,18,0.2222222222222222,0.7777777777777778
16,2010,AC,DEPUTADO ESTADUAL,PRP,16,1,17,0.058823529411764705,0.9411764705882353
17,2010,AC,DEPUTADO ESTADUAL,PSC,8,3,11,0.2727272727272727,0.7272727272727273
18,2010,AC,DEPUTADO ESTADUAL,PRB,3,1,4,0.25,0.75
19,2010,AC,DEPUTADO ESTADUAL,PHS,2,0,2,0.0,1.0
20,2010,AC,DEPUTADO ESTADUAL,PT do B,2,1,3,0.3333333333333333,0.6666666666666666
21,2010,AC,DEPUTADO ESTADUAL,PR,3,2,5,0.4,0.6
22,2010,AC,DEPUTADO ESTADUAL,PSL,3,1,4,0.25,0.75
23,2010,AC,DEPUTADO ESTADUAL,PDT,4,0,4,0.0,1.0
24,2010,AC,DEPUTADO FEDERAL,PPS,3,1,4,0.25,0.75
25,2010,AC,DEPUTADO FEDERAL,PSC,3,2,5,0.4,0.6
26,2010,AC,DEPUTADO FEDERAL,PMDB,2,0,2,0.0,1.0
27,2010,AC,DEPUTADO FEDERAL,PR,2,0,2,0.0,1.0
28,2010,AC,DEPUTADO FEDERAL,PSDB,6,1,7,0.14285714285714285,0.8571428571428571
29,2010,AC,DEPUTADO FEDERAL,PTN,1,0,1,0.0,1.0
30,2010,AC,DEPUTADO FEDERAL,PT,5,1,6,0.16666666666666666,0.8333333333333334
31,2010,AC,DEPUTADO FEDERAL,PRP,2,0,2,0.0,1.0
32,2010,AC,DEPUTADO FEDERAL,PRTB,0,1,1,1.0,0.0
33,2010,AC,DEPUTADO FEDERAL,PSDC,1,0,1,0.0,1.0
34,2010,AC,DEPUTADO FEDERAL,PP,1,0,1,0.0,1.0
35,2010,AC,DEPUTADO FEDERAL,PTC,1,0,1,0.0,1.0
36,2010,AC,DEPUTADO FEDERAL,PV,2,0,2,0.0,1.0
37,2010,AC,DEPUTADO FEDERAL,PDT,1,0,1,0.0,1.0
38,2010,AC,DEPUTADO FEDERAL,PSB,1,0,1,0.0,1.0
39,2010,AC,DEPUTADO FEDERAL,DEM,2,0,2,0.0,1.0
40,2010,AC,DEPUTADO FEDERAL,PC do B,0,1,1,1.0,0.0
41,2010,AC,DEPUTADO FEDERAL,PTB,0,1,1,1.0,0.0
42,2010,AC,DEPUTADO FEDERAL,PSOL,1,0,1,0.0,1.0
43,2010,AC,DEPUTADO FEDERAL,PMN,0,2,2,1.0,0.0
44,2010,AC,DEPUTADO FEDERAL,PRB,1,0,1,0.0,1.0
45,2010,AC,SENADOR,PSOL,1,0,1,0.0,1.0
46,2010,AC,SENADOR,PC do B,1,0,1,0.0,1.0
47,2010,AC,SENADOR,PMDB,1,0,1,0.0,1.0
48,2010,AC,SENADOR,PT,1,0,1,0.0,1.0
49,2010,AC,SENADOR,PMN,1,0,1,0.0,1.0
50,2014,AC,DEPUTADO ESTADUAL,PRP,26,10,36,0.2777777777777778,0.7222222222222222
51,2014,AC,DEPUTADO ESTADUAL,PTB,3,0,3,0.0,1.0
52,2014,AC,DEPUTADO ESTADUAL,PC do B,8,5,13,0.38461538461538464,0.6153846153846154
53,2014,AC,DEPUTADO ESTADUAL,PSOL,7,3,10,0.3,0.7
54,2014,AC,DEPUTADO ESTADUAL,PV,18,8,26,0.3076923076923077,0.6923076923076923
55,2014,AC,DEPUTADO ESTADUAL,PT,18,10,28,0.35714285714285715,0.6428571428571429
56,2014,AC,DEPUTADO ESTADUAL,PEN,5,1,6,0.16666666666666666,0.8333333333333334
57,2014,AC,DEPUTADO ESTADUAL,PRB,16,4,20,0.2,0.8
58,2014,AC,DEPUTADO ESTADUAL,PSD,18,8,26,0.3076923076923077,0.6923076923076923
59,2014,AC,DEPUTADO ESTADUAL,PDT,25,11,36,0.3055555555555556,0.6944444444444444
60,2014,AC,DEPUTADO ESTADUAL,PTC,2,2,4,0.5,0.5
61,2014,AC,DEPUTADO ESTADUAL,PMN,4,2,6,0.3333333333333333,0.6666666666666666
62,2014,AC,DEPUTADO ESTADUAL,DEM,20,10,30,0.3333333333333333,0.6666666666666666
63,2014,AC,DEPUTADO ESTADUAL,PSB,22,10,32,0.3125,0.6875
64,2014,AC,DEPUTADO ESTADUAL,PPS,16,7,23,0.30434782608695654,0.6956521739130435
65,2014,AC,DEPUTADO ESTADUAL,PSDC,22,10,32,0.3125,0.6875
66,2014,AC,DEPUTADO ESTADUAL,PR,17,8,25,0.32,0.68
67,2014,AC,DEPUTADO ESTADUAL,PSC,11,4,15,0.26666666666666666,0.7333333333333333
68,2014,AC,DEPUTADO ESTADUAL,PSDB,20,6,26,0.23076923076923078,0.7692307692307693
69,2014,AC,DEPUTADO ESTADUAL,PTN,14,8,22,0.36363636363636365,0.6363636363636364
70,2014,AC,DEPUTADO ESTADUAL,PHS,7,6,13,0.46153846153846156,0.5384615384615384
71,2014,AC,DEPUTADO ESTADUAL,PP,28,13,41,0.3170731707317073,0.6829268292682927
72,2014,AC,DEPUTADO ESTADUAL,PPL,11,3,14,0.21428571428571427,0.7857142857142857
73,2014,AC,DEPUTADO ESTADUAL,PMDB,12,4,16,0.25,0.75
74,2014,AC,DEPUTADO ESTADUAL,PT do B,5,5,10,0.5,0.5
75,2014,AC,DEPUTADO ESTADUAL,PROS,1,1,2,0.5,0.5
76,2014,AC,DEPUTADO ESTADUAL,SD,7,3,10,0.3,0.7
77,2014,AC,DEPUTADO ESTADUAL,PSL,4,1,5,0.2,0.8
78,2014,AC,DEPUTADO FEDERAL,PSDB,4,1,5,0.2,0.8
79,2014,AC,DEPUTADO FEDERAL,DEM,6,2,8,0.25,0.75
80,2014,AC,DEPUTADO FEDERAL,PT do B,1,1,2,0.5,0.5
81,2014,AC,DEPUTADO FEDERAL,PMDB,2,1,3,0.3333333333333333,0.6666666666666666
82,2014,AC,DEPUTADO FEDERAL,PP,5,2,7,0.2857142857142857,0.7142857142857143
83,2014,AC,DEPUTADO FEDERAL,SD,1,0,1,0.0,1.0
84,2014,AC,DEPUTADO FEDERAL,PMN,0,1,1,1.0,0.0
85,2014,AC,DEPUTADO FEDERAL,PSOL,2,1,3,0.3333333333333333,0.6666666666666666
86,2014,AC,DEPUTADO FEDERAL,PV,2,2,4,0.5,0.5
87,2014,AC,DEPUTADO FEDERAL,PSD,2,2,4,0.5,0.5
88,2014,AC,DEPUTADO FEDERAL,PT,5,6,11,0.5454545454545454,0.45454545454545453
89,2014,AC,DEPUTADO FEDERAL,PSL,0,1,1,1.0,0.0
90,2014,AC,DEPUTADO FEDERAL,PPS,1,0,1,0.0,1.0
91,2014,AC,DEPUTADO FEDERAL,PSC,0,1,1,1.0,0.0
92,2014,AC,DEPUTADO FEDERAL,PRB,1,0,1,0.0,1.0
93,2014,AC,DEPUTADO FEDERAL,PRP,1,0,1,0.0,1.0
94,2014,AC,DEPUTADO FEDERAL,PR,1,0,1,0.0,1.0
95,2014,AC,DEPUTADO FEDERAL,PDT,1,0,1,0.0,1.0
96,2014,AC,DEPUTADO FEDERAL,PSB,1,0,1,0.0,1.0
97,2014,AC,DEPUTADO FEDERAL,PHS,1,0,1,0.0,1.0
98,2014,AC,DEPUTADO FEDERAL,PTB,0,1,1,1.0,0.0
99,2014,AC,DEPUTADO FEDERAL,PC do B,1,0,1,0.0,1.0
100,2014,AC,DEPUTADO FEDERAL,PROS,1,0,1,0.0,1.0
101,2014,AC,DEPUTADO FEDERAL,PPL,2,0,2,0.0,1.0
102,2014,AC,DEPUTADO FEDERAL,PTN,1,0,1,0.0,1.0
103,2014,AC,DEPUTADO FEDERAL,PSDC,1,0,1,0.0,1.0
104,2014,AC,SENADOR,PP,1,0,1,0.0,1.0
