,ANO,UF,CARGO,SIGLA,QTB TOTAL,MÉDIA DE DESPESAS,QTD MULHERES,MEDIA DE DESPESAS MULHERES
0,2010,AC,DEPUTADO ESTADUAL,PSDC,26,5600.0,1,5600.0
1,2010,AC,DEPUTADO ESTADUAL,PV,11,600.0,1,600.0
2,2010,AC,DEPUTADO ESTADUAL,PC do B,36,300.0,11,300.0
3,2010,AC,DEPUTADO ESTADUAL,PSB,36,200.0,8,200.0
4,2010,AC,DEPUTADO ESTADUAL,PSOL,12,525.0,2,600.0
5,2010,AC,DEPUTADO ESTADUAL,PTB,9,600.0,1,600.0
6,2010,AC,DEPUTADO ESTADUAL,PSDB,29,300.0,5,300.0
7,2010,AC,DEPUTADO ESTADUAL,PRTB,28,300.0,8,300.0
8,2010,AC,DEPUTADO ESTADUAL,PP,29,400.0,5,400.0
9,2010,AC,DEPUTADO ESTADUAL,PMN,21,300.0,6,300.0
10,2010,AC,DEPUTADO ESTADUAL,PT,23,450.0,4,450.0
11,2010,AC,DEPUTADO ESTADUAL,PTC,20,4000.0,3,4000.0
12,2010,AC,DEPUTADO ESTADUAL,PMDB,22,250.0,6,250.0
13,2010,AC,DEPUTADO ESTADUAL,DEM,14,300.0,3,300.0
14,2010,AC,DEPUTADO ESTADUAL,PTN,4,125.0,1,125.0
15,2010,AC,DEPUTADO ESTADUAL,PPS,18,300.0,4,300.0
16,2010,AC,DEPUTADO ESTADUAL,PRP,17,600.0,1,600.0
17,2010,AC,DEPUTADO ESTADUAL,PSC,11,300.0,3,300.0
18,2010,AC,DEPUTADO ESTADUAL,PRB,4,600.0,1,600.0
19,2010,AC,DEPUTADO ESTADUAL,PHS,2,200.0,0,
20,2010,AC,DEPUTADO ESTADUAL,PT do B,3,300.0,1,300.0
21,2010,AC,DEPUTADO ESTADUAL,PR,5,350.0,2,350.0
22,2010,AC,DEPUTADO ESTADUAL,PSL,4,300.0,1,300.0
23,2010,AC,DEPUTADO ESTADUAL,PDT,4,300.0,0,
24,2010,AC,DEPUTADO FEDERAL,PPS,4,700.0,1,700.0
25,2010,AC,DEPUTADO FEDERAL,PSC,5,700.0,2,700.0
26,2010,AC,DEPUTADO FEDERAL,PMDB,2,700.0,0,
27,2010,AC,DEPUTADO FEDERAL,PR,2,1000.0,0,
28,2010,AC,DEPUTADO FEDERAL,PSDB,7,700.0,1,700.0
29,2010,AC,DEPUTADO FEDERAL,PTN,1,200.0,0,
30,2010,AC,DEPUTADO FEDERAL,PT,6,950.0,1,950.0
31,2010,AC,DEPUTADO FEDERAL,PRP,2,800.0,0,
32,2010,AC,DEPUTADO FEDERAL,PRTB,1,400.0,1,400.0
33,2010,AC,DEPUTADO FEDERAL,PSDC,1,200.0,0,
34,2010,AC,DEPUTADO FEDERAL,PP,1,3000.0,0,
35,2010,AC,DEPUTADO FEDERAL,PTC,1,200.0,0,
36,2010,AC,DEPUTADO FEDERAL,PV,2,800.0,0,
37,2010,AC,DEPUTADO FEDERAL,PDT,1,500.0,0,
38,2010,AC,DEPUTADO FEDERAL,PSB,1,500.0,0,
39,2010,AC,DEPUTADO FEDERAL,DEM,2,700.0,0,
40,2010,AC,DEPUTADO FEDERAL,PC do B,1,500.0,1,500.0
41,2010,AC,DEPUTADO FEDERAL,PTB,1,800.0,1,800.0
42,2010,AC,DEPUTADO FEDERAL,PSOL,1,800.0,0,
43,2010,AC,DEPUTADO FEDERAL,PMN,2,700.0,2,700.0
44,2010,AC,DEPUTADO FEDERAL,PRB,1,800.0,0,
45,2010,AC,SENADOR,PSOL,1,700.0,0,
46,2010,AC,SENADOR,PC do B,1,1900.0,0,
47,2010,AC,SENADOR,PMDB,1,2998.0,0,
48,2010,AC,SENADOR,PT,1,2200.0,0,
49,2010,AC,SENADOR,PMN,1,2998.0,0,
50,2010,AL,DEPUTADO ESTADUAL,PRTB,20,300.0,2,300.0
51,2010,AL,DEPUTADO ESTADUAL,PDT,20,2000.0,5,2000.0
52,2010,AL,DEPUTADO ESTADUAL,PPS,36,2000.0,11,2000.0
53,2010,AL,DEPUTADO ESTADUAL,PSB,8,2000.0,4,2000.0
54,2010,AL,DEPUTADO ESTADUAL,PMDB,14,1500.0,1,1500.0
55,2010,AL,DEPUTADO ESTADUAL,PV,19,3000.0,4,3000.0
56,2010,AL,DEPUTADO ESTADUAL,PMN,14,1000.0,2,1000.0
57,2010,AL,DEPUTADO ESTADUAL,PSL,14,300.0,0,
58,2010,AL,DEPUTADO ESTADUAL,PSC,3,2000.0,2,2000.0
59,2010,AL,DEPUTADO ESTADUAL,PTB,17,800.0,2,800.0
